08/17/18 16:28:33:368 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309017 | Not duplicating the DUC entry - fetchDefaultUserGUIDForClientID failed in IMS_registerClientToGroup
08/17/18 16:28:33:368 | [INFO] |  | ASU | OPM | P7Native |  |  | 309017 | Registered Client to group successfully!
08/17/18 16:28:33:370 | [INFO] |  | ASU | OPM | P7Native |  |  | 309017 | Performing fetch default user for clientID...
08/17/18 16:28:33:370 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309017 | Performing fetchDefaultUserInfoForClientId...
08/17/18 16:28:33:370 | [INFO] |  | ASU | OPM | OPM |  |  | 309017 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:33:370 | [INFO] |  | ASU | OPM | OPM |  |  | 309017 | No Record found for the input fields in opm_getValueForKey
08/17/18 16:28:33:370 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 309017 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:CreativeCloud_v4_0
08/17/18 16:28:33:371 | [WARN] |  | ASU | OPM | IMSLibHelper |  |  | 309017 | Failed in fetching default user id for the service, while processing fetchDefaultUserGUIDForClientID
08/17/18 16:28:33:371 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309017 | Failed to get default user for clientId in fetchDefaultUserInfoForClientId...
08/17/18 16:28:33:371 | [WARN] |  | ASU | OPM | P7Native |  |  | 309017 | failed in IMSLib's fetchDefaultUserInfoForClientId function, in getDefaultUserForClientId
08/17/18 16:28:33:371 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309017 | Performing releaseData...
08/17/18 16:28:33:372 | [INFO] |  | ASU | OPM | P7Native |  |  | 309017 | Unable to find default user for client_id: CreativeCloud_v4_0
08/17/18 16:28:34:122 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Build Version - 10.0.0.15
08/17/18 16:28:34:122 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Logging Level verbosity Set  to 4
08/17/18 16:28:34:122 | [INFO] |  | ASU | IMSLib | IMSLib |  |  | 309091 | Creating IMSLib Ex instance ...
08/17/18 16:28:34:123 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Build Version - 10.0.0.15
08/17/18 16:28:34:123 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Logging Level verbosity Set  to 4
08/17/18 16:28:34:125 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Schema version and schema compatibility version are same or greater than current

08/17/18 16:28:34:125 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | OPMWrapper allocation succeeded
08/17/18 16:28:34:126 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:126 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | No Record found for the input fields in opm_getValueForKey
08/17/18 16:28:34:126 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 309091 | Failed in getting value for key in OPMGetValueForKey domain:OOBE subDomain:ProxyCredentials key:ProxyUsername
08/17/18 16:28:34:126 | [INFO] |  | ASU | OPM | IMSLibHelper |  |  | 309091 | Failed to get proxy user name from local db in getProxyCredentialsFromLocalStore
08/17/18 16:28:34:126 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Failed get proxy credentials from local store while creating IMSLib Ex instance ...
08/17/18 16:28:34:127 | [INFO] |  | ASU | OPM | IMSLib |  |  | 309091 | Performing IMS_registerClientToGroup..
08/17/18 16:28:34:127 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Performing opm_getRecords...
08/17/18 16:28:34:127 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:127 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:127 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | returning size of value as:61 in opm_getValueForKey
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | returning size of value as:61 in opm_getValueForKey
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:128 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Successfully retreived value from opm domain:IMSLib subdomain:BuddyGroup key:0 in opm_getValueForKey
08/17/18 16:28:34:141 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:141 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | Successfully updated opm.db for fields domain:IMSLib subdomain:BuddyGroup key:0 in opm_setValueForKey
08/17/18 16:28:34:142 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | _opm_handle_OPDReturnedStatus called with opdStatus as:0
08/17/18 16:28:34:142 | [INFO] |  | ASU | OPM | OPM |  |  | 309091 | No Record found for the input fields in opm_getValueForKey
08/17/18 16:28:34:142 | [INFO] |  | ASU | OPM | IMSLib_OPMWrapper |  |  | 309091 | Failed in getting value for key in OPMGetValueForKey domain:IMSLib subDomain:CSServiceMap key:426eb9f9-9989-45dd-8b7c-1bcdc957c8e5
